station_id,station_name,month,hourly_available,aqi_available,pollutants_available,download_available,status,source_url
site_5454,"SAC ISRO Bopal, Ahmedabad",February,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5454,"SAC ISRO Bopal, Ahmedabad",March,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5454,"SAC ISRO Bopal, Ahmedabad",April,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5454,"SAC ISRO Bopal, Ahmedabad",May,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5455,"SAC ISRO Satellite, Ahmedabad",January,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5455,"SAC ISRO Satellite, Ahmedabad",February,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5455,"SAC ISRO Satellite, Ahmedabad",March,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5455,"SAC ISRO Satellite, Ahmedabad",April,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5455,"SAC ISRO Satellite, Ahmedabad",May,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5456,"SVPI Airport Hansol, Ahmedabad",January,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5456,"SVPI Airport Hansol, Ahmedabad",February,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5456,"SVPI Airport Hansol, Ahmedabad",March,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5456,"SVPI Airport Hansol, Ahmedabad",April,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5456,"SVPI Airport Hansol, Ahmedabad",May,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",January,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",February,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",March,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",April,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",May,True,True,False,True,AVAILABLE,https://cpcbccr.com/pdf/caaqms_list_All_India.pdf
