station_id,station_name,year,month,source_available,locally_acquired,raw_file,sha256,record_count,expected_hours,missing_hours,completeness_pct,qc_status,provenance_status,notes
site_308,"Maninagar, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_maninagar,_ahmedabad_-_gpcb_2025_January_ahmedabad_2025.xlsx",cc63cb2df2ab59f83325a073f61f8ffd80bd4102376f832fd64615b838540a2c,627.0,744.0,117.0,84.3,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_308,"Maninagar, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_308,"Maninagar, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_308,"Maninagar, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_308,"Maninagar, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5452,"Raikhad, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_raikhad,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",af240bfe522888de71efb10de2fab32f5bf8dd4f345b51d14095df23c04266ec,690.0,744.0,54.0,92.7,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5452,"Raikhad, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5452,"Raikhad, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5452,"Raikhad, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5452,"Raikhad, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5451,"Rakhial, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_rakhial,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",8a3345bf769358ef9e76f59b3d7a8bdc16c6423f0da592d02147a711291bec50,659.0,744.0,85.0,88.6,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5451,"Rakhial, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5451,"Rakhial, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5451,"Rakhial, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5451,"Rakhial, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5454,"SAC ISRO Bopal, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_sac_isro_bopal,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",91c30dda2b4fe33c0e2fbcb21ade87607dfa1c50bd61516e9c02bc5a6c4b937f,659.0,744.0,85.0,88.6,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5454,"SAC ISRO Bopal, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5454,"SAC ISRO Bopal, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5454,"SAC ISRO Bopal, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5454,"SAC ISRO Bopal, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5455,"SAC ISRO Satellite, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_sac_isro_satellite,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",7a9e35c2c0f2fc57f79591fbcc93d342052678f156ddffaf86730a8b7f1960c7,742.0,744.0,2.0,99.7,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5455,"SAC ISRO Satellite, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5455,"SAC ISRO Satellite, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5455,"SAC ISRO Satellite, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5455,"SAC ISRO Satellite, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5456,"SVPI Airport Hansol, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_svpi_airport_hansol,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",8d37819d9a909a060270d34af3a1e920637ccc1312454489763e9748d80747d3,604.0,744.0,140.0,81.2,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5456,"SVPI Airport Hansol, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5456,"SVPI Airport Hansol, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5456,"SVPI Airport Hansol, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5456,"SVPI Airport Hansol, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_sardar_vallabhbhai_patel_stadium,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",f37a845b9ab32f1392532b7a395ecacfd706397a1d6a67f5e47a81889d1673c1,712.0,744.0,8.0,95.7,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
